FABLE_Exporter,FABLE_Importer,dist_adj,Year,FABLE_Item,Q_ij,net_trade_ij,is_court,base_cost,beta,ln_dist,ln_quantity_kt,cost_per_tonne_km,transport_cost_usd_t,Regional_lv_i,Regional_lv_j
RUS,CHN,5506.709,2020,Wheat,0.7203595,-1.7744021,FALSE,0.003,0.26,8.61372244602864,-0.3280048860280216,0.028260361624040713,155.6215876983596,R_NEU,R_ASP
RUS,CHN,5506.709,2020,Palm_oil,0,0,FALSE,0.003,0.26,8.61372244602864,-Inf,Inf,283.5191392665807,R_NEU,R_ASP
RUS,CHN,5506.709,2020,Palm Oil,0,0,FALSE,0.003,0.26,8.61372244602864,-Inf,Inf,283.5191392665807,R_NEU,R_ASP
RUS,COL,11408.96,2020,Cocoa,0,-0.5315964,FALSE,0.003,0.26,9.34215429058619,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,COL,11408.96,2020,Coffee,0,-3.9162583,FALSE,0.003,0.26,9.34215429058619,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,COL,11408.96,2020,Corn,0,0,FALSE,0.003,0.26,9.34215429058619,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,COL,11408.96,2020,Wheat,0,0,FALSE,0.003,0.26,9.34215429058619,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,COL,11408.96,2020,Palm_oil,0,0,FALSE,0.003,0.26,9.34215429058619,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,COL,11408.96,2020,Rice,0,0,FALSE,0.003,0.26,9.34215429058619,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,COL,11408.96,2020,Soyabean,0,0,FALSE,0.003,0.26,9.34215429058619,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,COL,11408.96,2020,Palm Oil,0,0,FALSE,0.003,0.26,9.34215429058619,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,DEU,2654.584,2020,Cocoa,6.268428,-17.5376343,FALSE,0.003,0.26,7.884043235900526,1.8355256055065423,0.02287645633257712,60.727474957157895,R_NEU,R_OEU
RUS,DEU,2654.584,2020,Coffee,0.3095521,-15.9264117,FALSE,0.003,0.26,7.884043235900526,-1.172628864998557,0.023575070492484057,62.58200492822029,R_NEU,R_OEU
RUS,DEU,2654.584,2020,Corn,18.3501151,16.2855974,FALSE,0.003,0.26,7.884043235900526,2.9096358469604713,0.022632052903117195,60.078685523768456,R_NEU,R_OEU
RUS,DEU,2654.584,2020,Palm_oil,0,-6.207069,FALSE,0.003,0.26,7.884043235900526,-Inf,Inf,53.08623892333925,R_NEU,R_OEU
RUS,DEU,2654.584,2020,Rice,0.0764408,0.0724315,FALSE,0.003,0.26,7.884043235900526,-2.5712386939400784,0.02390711030375592,63.4634324985856,R_NEU,R_OEU
RUS,DEU,2654.584,2020,Soyabean,0.3016938,0.3016938,FALSE,0.003,0.26,7.884043235900526,-1.198342683243726,0.02358113332272083,62.59809922036155,R_NEU,R_OEU
RUS,DEU,2654.584,2020,Wheat,1.0238863,-6.0135709,FALSE,0.003,0.26,7.884043235900526,0.02360548529620676,0.023294737464046235,61.83783735625771,R_NEU,R_OEU
RUS,DEU,2654.584,2020,Palm Oil,0,0,FALSE,0.003,0.26,7.884043235900526,-Inf,Inf,53.08623892333925,R_NEU,R_OEU
RUS,DNK,2379.319,2020,Cocoa,0,-0.0701319,FALSE,0.003,0.26,7.774569591267466,-Inf,Inf,53.08623892333925,R_NEU,R_OEU
RUS,DNK,2379.319,2020,Coffee,0.0016506,0.0016506,FALSE,0.003,0.26,7.774569591267466,-6.40661642080569,0.024144739894081512,57.44803838004613,R_NEU,R_OEU
RUS,DNK,2379.319,2020,Wheat,3.2892329,2.1202597,FALSE,0.003,0.26,7.774569591267466,1.1906543764967816,0.02237834697911079,53.245226155990906,R_NEU,R_OEU
RUS,DNK,2379.319,2020,Corn,0,0,FALSE,0.003,0.26,7.774569591267466,-Inf,Inf,53.08623892333925,R_NEU,R_OEU
RUS,DNK,2379.319,2020,Palm_oil,0,0,FALSE,0.003,0.26,7.774569591267466,-Inf,Inf,53.08623892333925,R_NEU,R_OEU
RUS,DNK,2379.319,2020,Rice,0,0,FALSE,0.003,0.26,7.774569591267466,-Inf,Inf,53.08623892333925,R_NEU,R_OEU
RUS,DNK,2379.319,2020,Soyabean,0,0,FALSE,0.003,0.26,7.774569591267466,-Inf,Inf,53.08623892333925,R_NEU,R_OEU
RUS,DNK,2379.319,2020,Palm Oil,0,0,FALSE,0.003,0.26,7.774569591267466,-Inf,Inf,53.08623892333925,R_NEU,R_OEU
RUS,ETH,5423.041,2020,Coffee,0,-1.008372,FALSE,0.003,0.26,8.59841200720341,-Inf,Inf,153.12858731987797,R_NEU,R_SSA
RUS,ETH,5423.041,2020,Wheat,46.6647955,46.6647955,FALSE,0.003,0.26,8.59841200720341,3.84299003670874,0.02699818145382419,146.4122449495282,R_NEU,R_SSA
RUS,ETH,5423.041,2020,Cocoa,0,0,FALSE,0.003,0.26,8.59841200720341,-Inf,Inf,153.12858731987797,R_NEU,R_SSA
RUS,ETH,5423.041,2020,Corn,0,0,FALSE,0.003,0.26,8.59841200720341,-Inf,Inf,153.12858731987797,R_NEU,R_SSA
RUS,ETH,5423.041,2020,Palm_oil,0,0,FALSE,0.003,0.26,8.59841200720341,-Inf,Inf,153.12858731987797,R_NEU,R_SSA
RUS,ETH,5423.041,2020,Rice,0,0,FALSE,0.003,0.26,8.59841200720341,-Inf,Inf,153.12858731987797,R_NEU,R_SSA
RUS,ETH,5423.041,2020,Soyabean,0,0,FALSE,0.003,0.26,8.59841200720341,-Inf,Inf,153.12858731987797,R_NEU,R_SSA
